round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1628,stage1.block1,4672,3429,10,0.07339469178082192,0.005692382482811809,event_t0125_q005,4200,94200
1628,stage1.block2,4672,2255,10,0.04826626712328767,0.0052787617314606905,event_t0125_q005,4200,94200
1628,stage2.block1,14528,7178,10,0.04940803964757709,0.005284788319841027,event_t0125_q005,4200,94200
1628,stage2.block2,18560,6932,10,0.03734913793103448,0.005117598595097661,event_t0125_q005,4200,94200
1628,stage3.block1,57728,17255,10,0.029890174611973394,0.0051998492330312725,event_t0125_q005,4200,94200
1628,stage3.block2,73984,18011,10,0.02434445285467128,0.005723711336031556,event_t0125_q005,4200,94200
1628,head,650,560,10,0.08615384615384615,0.006213210104033351,event_t0125_q005,4200,94200
1629,stem,464,1239,10,0.2670258620689655,0.009072952484712005,event_t0125_q005,4200,94200
1629,stage1.block1,4672,4010,10,0.0858304794520548,0.00586773669347167,event_t0125_q005,4200,94200
1629,stage1.block2,4672,2548,10,0.054537671232876714,0.005359318479895592,event_t0125_q005,4200,94200
1629,stage2.block1,14528,8166,10,0.056208700440528635,0.0054004022385925055,event_t0125_q005,4200,94200
1629,stage2.block2,18560,7653,10,0.04123383620689655,0.005175327090546489,event_t0125_q005,4200,94200
1629,stage3.block1,57728,19173,10,0.03321265243902439,0.0052325455006212,event_t0125_q005,4200,94200
1629,stage3.block2,73984,18689,10,0.025260867214532873,0.005711713014170528,event_t0125_q005,4200,94200
1629,head,650,511,10,0.07861538461538461,0.006140957120805979,event_t0125_q005,4200,94200
1630,stem,464,1445,10,0.3114224137931034,0.010225235437974333,event_t0125_q005,4200,94200
1630,stage1.block1,4672,5150,10,0.11023116438356165,0.006303100381046534,event_t0125_q005,4200,94200
1630,stage1.block2,4672,3080,10,0.06592465753424658,0.0055735860485583546,event_t0125_q005,4200,94200
1630,stage2.block1,14528,10450,10,0.07193006607929515,0.005670932494103909,event_t0125_q005,4200,94200
1630,stage2.block2,18560,9844,10,0.05303879310344828,0.005375550221651792,event_t0125_q005,4200,94200
1630,stage3.block1,57728,22906,10,0.03967918514412417,0.005318016698583961,event_t0125_q005,4200,94200
1630,stage3.block2,73984,21426,10,0.028960315743944635,0.005741018895059824,event_t0125_q005,4200,94200
1630,head,650,628,10,0.09661538461538462,0.006279434682801366,event_t0125_q005,4200,94200
1631,stem,464,1225,10,0.2640086206896552,0.009237888082861901,event_t0125_q005,4200,94200
1631,stage1.block1,4672,4081,10,0.08735017123287671,0.005913115711882711,event_t0125_q005,4200,94200
1631,stage1.block2,4672,2723,10,0.0582833904109589,0.005404645204544067,event_t0125_q005,4200,94200
1631,stage2.block1,14528,8618,10,0.059319933920704844,0.005436149053275585,event_t0125_q005,4200,94200
1631,stage2.block2,18560,8243,10,0.04441271551724138,0.005215696757659316,event_t0125_q005,4200,94200
1631,stage3.block1,57728,19552,10,0.033869179600886916,0.005217648250982166,event_t0125_q005,4200,94200
1631,stage3.block2,73984,18783,10,0.02538792171280277,0.005686873197555542,event_t0125_q005,4200,94200
1631,head,650,526,10,0.08092307692307692,0.006098247691988945,event_t0125_q005,4200,94200
1632,stem,464,1339,10,0.28857758620689655,0.0096398098859936,event_t0125_q005,4200,94200
1632,stage1.block1,4672,3656,10,0.07825342465753425,0.005748760467395186,event_t0125_q005,4200,94200
1632,stage1.block2,4672,2397,10,0.05130565068493151,0.005285446019843221,event_t0125_q005,4200,94200
1632,stage2.block1,14528,7875,10,0.0542056718061674,0.005338173033669591,event_t0125_q005,4200,94200
1632,stage2.block2,18560,7564,10,0.040754310344827585,0.005168164428323507,event_t0125_q005,4200,94200
1632,stage3.block1,57728,17797,10,0.030829060421286032,0.0051710436586290594,event_t0125_q005,4200,94200
1632,stage3.block2,73984,17649,10,0.02385515787197232,0.005661753099411726,event_t0125_q005,4200,94200
1632,head,650,534,10,0.08215384615384616,0.006126604927703738,event_t0125_q005,4200,94200
1633,stem,464,1205,10,0.25969827586206895,0.008807386131957173,event_t0125_q005,4200,94200
1633,stage1.block1,4672,3735,10,0.0799443493150685,0.005754488799721002,event_t0125_q005,4200,94200
1633,stage1.block2,4672,2450,10,0.052440068493150686,0.005327141843736172,event_t0125_q005,4200,94200
1633,stage2.block1,14528,7937,10,0.05463243392070485,0.005347548378631472,event_t0125_q005,4200,94200
1633,stage2.block2,18560,7736,10,0.041681034482758623,0.005192635301500559,event_t0125_q005,4200,94200
1633,stage3.block1,57728,19339,10,0.033500207871396896,0.005227816198021174,event_t0125_q005,4200,94200
1633,stage3.block2,73984,20515,10,0.027728968425605537,0.005739897908642888,event_t0125_q005,4200,94200
1633,head,650,600,10,0.09230769230769231,0.006364427646622062,event_t0125_q005,4200,94200
1634,stem,464,1284,10,0.2767241379310345,0.009235269390046597,event_t0125_q005,4200,94200
1634,stage1.block1,4672,3805,10,0.08144263698630137,0.005773874511942267,event_t0125_q005,4200,94200
1634,stage1.block2,4672,2404,10,0.051455479452054795,0.005279880156740547,event_t0125_q005,4200,94200
1634,stage2.block1,14528,7385,10,0.050832874449339205,0.005286717461422086,event_t0125_q005,4200,94200
1634,stage2.block2,18560,6999,10,0.03771012931034483,0.005108926771208644,event_t0125_q005,4200,94200
1634,stage3.block1,57728,18269,10,0.031646687915742794,0.0052152911201119425,event_t0125_q005,4200,94200
1634,stage3.block2,73984,19686,10,0.02660845588235294,0.005724993254989386,event_t0125_q005,4200,94200
1634,head,650,562,10,0.08646153846153846,0.006170874740928411,event_t0125_q005,4200,94200
1635,stem,464,1292,10,0.27844827586206894,0.009082819567993283,event_t0125_q005,4200,94200
1635,stage1.block1,4672,3521,10,0.0753638698630137,0.005718359025195241,event_t0125_q005,4200,94200
1635,stage1.block2,4672,2150,10,0.04601883561643835,0.005187410488724708,event_t0125_q005,4200,94200
1635,stage2.block1,14528,7376,10,0.05077092511013216,0.005280096083879471,event_t0125_q005,4200,94200
1635,stage2.block2,18560,6679,10,0.03598599137931034,0.00508605195209384,event_t0125_q005,4200,94200
1635,stage3.block1,57728,17068,10,0.029566241685144126,0.00517315068282187,event_t0125_q005,4200,94200
1635,stage3.block2,73984,17317,10,0.023406412197231833,0.005674076732248068,event_t0125_q005,4200,94200
1635,head,650,472,10,0.07261538461538461,0.00586269455961883,event_t0125_q005,4200,94200
1636,stem,464,1120,10,0.2413793103448276,0.00849836622364819,event_t0125_q005,4200,94200
1636,stage1.block1,4672,3543,10,0.07583476027397261,0.005694244150072336,event_t0125_q005,4200,94200
1636,stage1.block2,4672,2058,10,0.04404965753424658,0.005165879148989916,event_t0125_q005,4200,94200
1636,stage2.block1,14528,7233,10,0.04978661894273128,0.005271809827536345,event_t0125_q005,4200,94200
1636,stage2.block2,18560,6818,10,0.036734913793103445,0.005101166758686304,event_t0125_q005,4200,94200
1636,stage3.block1,57728,17557,10,0.030413317627494458,0.0051818424835801125,event_t0125_q005,4200,94200
1636,stage3.block2,73984,17908,10,0.024205233564013842,0.005693113012239337,event_t0125_q005,4200,94200
1636,head,650,505,10,0.07769230769230769,0.005981483869254589,event_t0125_q005,4200,94200
1637,stem,464,1291,10,0.27823275862068964,0.00936759179458022,event_t0125_q005,4200,94200
1637,stage1.block1,4672,3691,10,0.07900256849315068,0.0057526974938809875,event_t0125_q005,4200,94200
1637,stage1.block2,4672,2149,10,0.04599743150684932,0.005210358137264848,event_t0125_q005,4200,94200
1637,stage2.block1,14528,7475,10,0.05145236784140969,0.005289155803620815,event_t0125_q005,4200,94200
1637,stage2.block2,18560,7296,10,0.039310344827586205,0.0051218734588474035,event_t0125_q005,4200,94200
1637,stage3.block1,57728,18829,10,0.0326167544345898,0.005217746598646045,event_t0125_q005,4200,94200
1637,stage3.block2,73984,19598,10,0.02648951124567474,0.005736863147467375,event_t0125_q005,4200,94200
1637,head,650,502,10,0.07723076923076923,0.00602832562290132,event_t0125_q005,4200,94200
1638,stem,464,1261,10,0.27176724137931035,0.00914643844589591,event_t0125_q005,4200,94200
1638,stage1.block1,4672,3763,10,0.08054366438356164,0.00578154930844903,event_t0125_q005,4200,94200
1638,stage1.block2,4672,2466,10,0.05278253424657534,0.005317977583035827,event_t0125_q005,4200,94200
1638,stage2.block1,14528,7945,10,0.0546875,0.005353034241124988,event_t0125_q005,4200,94200
1638,stage2.block2,18560,7274,10,0.039191810344827584,0.005127980094403029,event_t0125_q005,4200,94200
1638,stage3.block1,57728,18024,10,0.03122228381374723,0.005190230906009674,event_t0125_q005,4200,94200
1638,stage3.block2,73984,17357,10,0.02346047794117647,0.005686309468001127,event_t0125_q005,4200,94200
1638,head,650,467,10,0.07184615384615385,0.005929406592622399,event_t0125_q005,4200,94200
1639,stem,464,1032,10,0.22241379310344828,0.008256390411406755,event_t0125_q005,4200,94200
1639,stage1.block1,4672,3310,10,0.07084760273972603,0.0055998862255364655,event_t0125_q005,4200,94200
1639,stage1.block2,4672,2157,10,0.046168664383561646,0.005253041815012694,event_t0125_q005,4200,94200
1639,stage2.block1,14528,6926,10,0.04767345814977974,0.00525550632737577,event_t0125_q005,4200,94200
1639,stage2.block2,18560,6832,10,0.03681034482758621,0.005100555205717683,event_t0125_q005,4200,94200
1639,stage3.block1,57728,18208,10,0.0315410199556541,0.0052075519692152735,event_t0125_q005,4200,94200
1639,stage3.block2,73984,19241,10,0.026006974480968857,0.005728108109906316,event_t0125_q005,4200,94200
1639,head,650,591,10,0.09092307692307693,0.0062278569675982,event_t0125_q005,4200,94200
1640,stem,464,1437,10,0.30969827586206894,0.009946585167199373,event_t0125_q005,4200,94200
1640,stage1.block1,4672,3797,10,0.08127140410958904,0.005801927391439676,event_t0125_q005,4200,94200
1640,stage1.block2,4672,2512,10,0.053767123287671234,0.005316340271383524,event_t0125_q005,4200,94200
1640,stage2.block1,14528,7960,10,0.05479074889867842,0.005363855604082346,event_t0125_q005,4200,94200
1640,stage2.block2,18560,7375,10,0.039735991379310345,0.005148076685145497,event_t0125_q005,4200,94200
1640,stage3.block1,57728,18829,10,0.0326167544345898,0.005231581861153245,event_t0125_q005,4200,94200
1640,stage3.block2,73984,19135,10,0.025863700259515572,0.005724888760596514,event_t0125_q005,4200,94200
1640,head,650,564,10,0.08676923076923077,0.006172321690246463,event_t0125_q005,4200,94200
1641,stem,464,1256,10,0.2706896551724138,0.009242541156709194,event_t0125_q005,4200,94200
1641,stage1.block1,4672,4077,10,0.08726455479452055,0.00589061425998807,event_t0125_q005,4200,94200
