regime,local_steps,metric,n_seeds,mean,std,min,max
strong,1,final_test_ce,10,0.7845556318759919,0.011073861867542492,0.7632747292518616,0.800563633441925
strong,1,final_test_accuracy,10,0.72924,0.01041411435398026,0.7134,0.741
strong,1,final_worst_class_accuracy,10,0.215,0.04064753648405057,0.166,0.282
strong,1,coordinate_events_total,10,518154.7,11560.010659837455,495026.0,528660.0
strong,1,uplink_packetized_bits,10,8386462.4,184952.9538757837,8016416.0,8554496.0
strong,1,unicast_hybrid_total_bits,10,100561486.4,2034482.492633621,96490976.0,102409856.0
strong,5,weighted_alignment_ratio,10,35.40032934950196,1.517191961421084,33.38758942409771,38.77736591647064
strong,5,positive_alignment_fraction,10,0.9903225806451612,0.015582125533537017,0.967741935483871,1.0
strong,5,objective_decrease_fraction,10,0.6967741935483871,0.09274777915203365,0.5483870967741935,0.8709677419354839
strong,5,positive_without_descent_fraction,10,0.2935483870967741,0.08527905401676711,0.1290322580645161,0.4193548387096774
strong,5,late_alignment_ratio,10,25.43234708541174,4.881790354087618,16.034893248165083,31.333608258119085
strong,5,late_objective_decrease_fraction,10,0.47999999999999987,0.20439612955674522,0.2,0.7
strong,5,harmful_mass_share,10,0.31097931045253924,0.005246708694988273,0.2986405156958295,0.3158193726882065
strong,5,event_local_mass_fraction,10,0.07553278899620317,0.0013296214819251081,0.07354978953217,0.0776108329458556
strong,5,ideal_local_ratio,10,313.2331920646991,21.956443013187858,276.46105599577686,342.3375821994669
strong,5,memory_penalty_ratio,10,0.0,0.0,0.0,0.0
strong,5,local_drift_ratio,10,400.4525696894585,24.319984042561778,370.19531747382985,443.4152228177842
strong,5,heterogeneity_ratio,10,-678.2854324046555,44.63250652338119,-746.0834335150266,-616.8226200305021
strong,5,mean_curvature_remainder,10,0.016659932299709752,0.0010583322445513088,0.0153235684128345,0.0188259888394766
strong,5,mean_coordinate_events_per_audit,10,6457.996774193549,98.83447782147428,6250.709677419355,6583.354838709677
strong,5,mean_aggregate_energy,10,6354.583870967743,101.49080045019019,6143.806451612903,6522.193548387097
strong,5,mean_cancellation_fraction,10,0.15373402520322793,0.002762749209470615,0.1508180386097802,0.1590146224695034
strong,5,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0
strong,5,defect_to_target_fraction,10,0.12680912744827072,0.021817475601100398,0.1078482904904305,0.1785900990513258
strong,5,final_test_ce,10,0.4772854566574097,0.004478273321706152,0.4713324606418609,0.4858018457889557
strong,5,final_test_accuracy,10,0.83217,0.0022671813141235783,0.8283,0.8355
strong,5,final_worst_class_accuracy,10,0.5576000000000001,0.033523457790362574,0.504,0.603
strong,5,coordinate_events_total,10,985854.8,13409.984479235365,972521.0,1014921.0
strong,5,uplink_packetized_bits,10,15869676.8,214559.75166776584,15656336.0,16334736.0
strong,5,unicast_hybrid_total_bits,10,182876844.8,2360157.2683454235,180530096.0,187992496.0
