factor,from,to,metric,n_pairs,mean_paired_difference,std_paired_difference,paired_t95_low,paired_t95_high,positive_pairs,negative_pairs,zero_pairs,min_paired_difference,max_paired_difference
heterogeneity,iid_e5,strong_e5,defect_to_target_fraction,10,-0.08075020289226745,0.024053327787958954,-0.09795691703652479,-0.06354348874801011,0,10,0,-0.1044237706020917,-0.029776235675049306
heterogeneity,iid_e5,strong_e5,final_test_ce,10,0.0018435448408126998,0.004348867607565987,-0.0012674476353330701,0.00495453731695847,7,3,0,-0.003946214914321899,0.012173235416412409
heterogeneity,iid_e5,strong_e5,final_test_accuracy,10,-0.001100000000000001,0.0024828299266048182,-0.0028761095343024755,0.0006761095343024738,4,6,0,-0.0043999999999999595,0.0035000000000000586
heterogeneity,iid_e5,strong_e5,final_worst_class_accuracy,10,0.02999999999999998,0.038215761727910684,0.002662090931701073,0.05733790906829889,9,1,0,-0.052999999999999936,0.07699999999999996
heterogeneity,iid_e5,strong_e5,coordinate_events_total,10,729535.3,13996.142111707466,719523.0630836965,739547.5369163036,10,0,0,711102.0,752990.0
heterogeneity,iid_e5,strong_e5,uplink_packetized_bits,10,11673115.2,223947.48096065343,11512912.822924113,11833317.577075886,10,0,0,11378144.0,12048480.0
heterogeneity,iid_e5,strong_e5,unicast_hybrid_total_bits,10,128404267.2,2463422.2905671876,126642041.05216525,130166493.34783475,10,0,0,125159584.0,132533280.0
local_steps,iid_e1,iid_e5,weighted_alignment_ratio,10,34.947264589341515,1.634563863942337,33.777968041049846,36.116561137633184,10,0,0,32.26996277605818,37.06259103149999
local_steps,iid_e1,iid_e5,positive_alignment_fraction,10,0.029032258064516103,0.028245001153900398,0.008827001430435081,0.04923751469859712,8,1,1,-0.032258064516129004,0.06451612903225801
local_steps,iid_e1,iid_e5,objective_decrease_fraction,10,-0.012903225806451635,0.046123893740918756,-0.04589827172344049,0.020091820110537218,4,5,1,-0.09677419354838712,0.032258064516129004
local_steps,iid_e1,iid_e5,positive_without_descent_fraction,10,0.041935483870967696,0.02655718072092141,0.022937621239626057,0.06093334650230933,8,0,2,0.0,0.064516129032258
local_steps,iid_e1,iid_e5,late_alignment_ratio,10,1.8031250581086724,3.822419157414163,-0.9312688835929614,4.537518999810306,7,3,0,-3.9522462598205195,7.565909001101529
local_steps,iid_e1,iid_e5,late_objective_decrease_fraction,10,-0.11999999999999997,0.07888106377466152,-0.17642811372008937,-0.06357188627991057,0,8,2,-0.19999999999999996,0.0
local_steps,iid_e1,iid_e5,harmful_mass_share,10,0.054437274502472086,0.00682584289305268,0.04955436064997957,0.0593201883549646,10,0,0,0.044855568213291105,0.0676280784591005
local_steps,iid_e1,iid_e5,event_local_mass_fraction,10,0.0134794828050985,0.0004503313352835959,0.013157335174436536,0.013801630435760463,10,0,0,0.012933820865382598,0.014489746494550402
local_steps,iid_e1,iid_e5,ideal_local_ratio,10,77.41491915030579,3.8288596578411904,74.6759179521459,80.15392034846569,10,0,0,71.55355578282389,84.24374444192651
local_steps,iid_e1,iid_e5,memory_penalty_ratio,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
local_steps,iid_e1,iid_e5,local_drift_ratio,10,-37.07072600723511,3.555790560973544,-39.614385341148505,-34.52706667332171,0,10,0,-43.45047691655987,-32.08993247143748
local_steps,iid_e1,iid_e5,heterogeneity_ratio,10,-5.396928553729154,0.48283779034458557,-5.742329901507033,-5.051527205951275,0,10,0,-6.290074092771373,-4.70749836716465
local_steps,iid_e1,iid_e5,mean_curvature_remainder,10,0.0067308156180162695,0.0005916598723509381,0.006307567642355009,0.00715406359367753,10,0,0,0.0057062577503803995,0.0073864140804204
local_steps,iid_e1,iid_e5,mean_coordinate_events_per_audit,10,1330.9967741935484,43.976497706851966,1299.5378828593443,1362.4556655277524,10,0,0,1256.4516129032259,1397.8387096774193
local_steps,iid_e1,iid_e5,mean_aggregate_energy,10,2362.4741935483867,55.995379229773334,2322.4175123149353,2402.530874781838,10,0,0,2242.967741935484,2425.8387096774186
local_steps,iid_e1,iid_e5,mean_cancellation_fraction,10,0.016541033492772812,0.00488347164275804,0.013047608328102296,0.020034458657443327,10,0,0,0.0099764002302584,0.0290684009206142
local_steps,iid_e1,iid_e5,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
local_steps,iid_e1,iid_e5,defect_to_target_fraction,10,-0.09749328945308897,0.013786835317239447,-0.10735579730850703,-0.0876307815976709,0,10,0,-0.12426113448867332,-0.0762730223019843
local_steps,iid_e1,iid_e5,final_test_ce,10,-0.3288004547357559,0.0038407911972286463,-0.33154799124301526,-0.3260529182284966,0,10,0,-0.33475834131240845,-0.323316901922226
local_steps,iid_e1,iid_e5,final_test_accuracy,10,0.11895000000000003,0.005748284768326814,0.11483792479359546,0.1230620752064046,10,0,0,0.11160000000000003,0.12850000000000006
local_steps,iid_e1,iid_e5,final_worst_class_accuracy,10,0.34850000000000003,0.0682857557946344,0.29965131301411746,0.3973486869858826,10,0,0,0.242,0.42599999999999993
local_steps,iid_e1,iid_e5,coordinate_events_total,10,191614.0,5018.702731893085,188023.83634181725,195204.16365818275,10,0,0,181768.0,198391.0
local_steps,iid_e1,iid_e5,uplink_packetized_bits,10,3070054.4,80301.55864434458,3012610.1254650126,3127498.674534987,10,0,0,2912512.0,3178480.0
local_steps,iid_e1,iid_e5,unicast_hybrid_total_bits,10,33770598.4,883317.1450877903,33138711.380115137,34402485.41988486,10,0,0,32037632.0,34963280.0
local_steps,strong_e1,strong_e5,weighted_alignment_ratio,10,15.260009094001381,1.9660795207706792,13.853560531166153,16.66645765683661,10,0,0,11.980224683910187,18.809678346276318
local_steps,strong_e1,strong_e5,positive_alignment_fraction,10,0.0129032258064516,0.016657992886913605,0.000986815555489129,0.024819636057414073,4,0,6,0.0,0.032258064516129004
local_steps,strong_e1,strong_e5,objective_decrease_fraction,10,-0.1774193548387096,0.07488380794185005,-0.23098800399393812,-0.12385070568348108,0,10,0,-0.25806451612903225,-0.06451612903225812
local_steps,strong_e1,strong_e5,positive_without_descent_fraction,10,0.1903225806451613,0.07967154216276433,0.1333289927511363,0.2473161685391863,10,0,0,0.06451612903225809,0.29032258064516137
local_steps,strong_e1,strong_e5,late_alignment_ratio,10,0.4053658255518474,7.0164009201703275,-4.613865027623979,5.424596678727673,5,5,0,-9.581268514504586,12.638822245614236
local_steps,strong_e1,strong_e5,late_objective_decrease_fraction,10,-0.2900000000000001,0.19692073983655906,-0.4308686111673724,-0.14913138883262778,0,10,0,-0.6000000000000001,-0.09999999999999998
local_steps,strong_e1,strong_e5,harmful_mass_share,10,0.01339732084223485,0.010380390104726666,0.005971637094336886,0.020823004590132817,9,1,0,-0.007818117775297506,0.030091460573641815
local_steps,strong_e1,strong_e5,event_local_mass_fraction,10,0.018087719843345902,0.0021114582199691923,0.016577273624060616,0.01959816606263119,10,0,0,0.013335113933079706,0.020539709603371696
local_steps,strong_e1,strong_e5,ideal_local_ratio,10,-147.39443108764394,38.366530861456994,-174.84019389682967,-119.94866827845819,0,10,0,-203.55048293227873,-93.03248915414554
local_steps,strong_e1,strong_e5,memory_penalty_ratio,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
local_steps,strong_e1,strong_e5,local_drift_ratio,10,490.6268678808409,23.318393829849327,473.9458938189363,507.3078419427455,10,0,0,461.96559870137116,522.5637016821798
