round,jump,reference_size,reference_objective_before,reference_objective_after,objective_change,gradient_sq_norm,gradient_norm,coordinate_events,aggregate_nonzeros,aggregate_l1,aggregate_energy,event_energy_ratio,cancellation_fraction,descent_mass,harmful_mass,net_alignment,inner_product_alignment,alignment_identity_error,alignment_ratio,harmful_share,first_order_change,curvature_remainder,objective_decreased,net_alignment_positive,update_reconstruction_error,ideal_local_mass,memory_opposition_penalty,local_drift_term,heterogeneity_term,silent_local_mass,event_local_mass_fraction,decomposition_alignment,decomposition_identity_error,kappa_gradient_sq,defect,coverage_deficit,memory_penalty,drift_penalty,heterogeneity_penalty,defect_upper_bound,defect_bound_slack,regime,local_steps,partition_seed,train_seed
50.0,0.00480132250396109,60000.0,1.2887859090805056,1.284833199596405,-0.003952709484100536,0.15246197258459654,0.3904637916434718,3329.0,2795.0,2907.0,3137.0,0.09423250225292881,0.1267647942325022,7.703207900749931,3.8835662585980515,3.819641642151879,3.819641642151879,0.0,25.053077678320577,0.3351723443634108,-0.01833933137353071,0.014386621889430174,1.0,1.0,0.0,87.74134742299793,0.0,-14.55425849969015,-69.3674472811559,1265.7642702276462,0.064825255454274,3.819641642151879,0.0,1.2196957806767723,0.0,0.0,0.0,14.55425849969015,69.3674472811559,83.92170578084605,83.92170578084605,strong,1,3200,73200
55.0,0.004785604835599704,60000.0,1.24252514667511,1.2257466923713682,-0.016778454303741697,0.24319004486487641,0.4931430267831802,3164.0,2721.0,2824.0,3036.0,0.09595448798988622,0.10745891276864727,9.721997873464122,3.9951939594514556,5.726803914012667,5.726803914012667,0.0,23.548677402459663,0.2912545080739226,-0.027406220503430327,0.01062776619968863,1.0,1.0,0.0,92.95078213879606,0.0,-9.030041646632526,-78.19393657815087,1245.8948443492409,0.06942606399112482,5.726803914012663,3.552713678800501e-15,1.9455203589190113,0.0,0.0,0.0,9.030041646632526,78.19393657815087,87.2239782247834,87.2239782247834,strong,1,3200,73200
60.0,0.004770435256643361,60000.0,1.1981811567306517,1.1861584996223453,-0.012022657108306412,0.15313118817016397,0.39131980293637575,3742.0,3028.0,3162.0,3440.0,0.09192944949225014,0.15499732763228224,7.172981686734282,3.3145878115616796,3.8583938751726023,3.8583938751726023,0.0,25.19665602597584,0.31604918681113287,-0.018406218176140184,0.006383561067833773,1.0,1.0,0.0,100.55491904742667,0.0,-16.588429089089914,-80.10809608316416,1390.9627444752414,0.06741785330918304,3.8583938751725952,7.105427357601002e-15,1.2250495053613117,0.0,0.0,0.0,16.588429089089914,80.10809608316416,96.69652517225407,96.69652517225407,strong,1,3200,73200
65.0,0.00475577839845971,60000.0,1.158182463645935,1.1482469143867493,-0.009935549259185716,0.12157085066483235,0.348670117252443,2714.0,2261.0,2352.0,2546.0,0.09380987472365512,0.13338246131171705,5.300646241289872,2.2870621753223412,3.013584065967531,3.013584065967531,0.0,24.78870592323075,0.3014167189549802,-0.014331938002870765,0.004396388743685049,1.0,1.0,0.0,78.0530616940814,0.0,-8.053554895439447,-66.98592273267442,1244.1802303017812,0.059031233116406547,3.0135840659675353,4.440892098500626e-15,0.9725668053186588,0.0,0.0,0.0,8.053554895439447,66.98592273267442,75.03947762811387,75.03947762811387,strong,1,3200,73200
70.0,0.004741602161394329,60000.0,1.1230999040126801,1.1132416683197022,-0.009858235692977946,0.15477820990966712,0.39341861917004783,3294.0,2866.0,2958.0,3152.0,0.09568913175470553,0.10200364298724951,6.549509161584931,2.8114529696972954,3.7380561918876354,3.7380561918876354,0.0,24.151049389117947,0.30033803473064513,-0.017724375318867867,0.007866139625889921,1.0,1.0,0.0,86.6491169204528,0.0,-8.435462609550086,-74.47559811901507,1158.0800797576921,0.06961282594776158,3.7380561918876367,1.3322676295501878e-15,1.238225679277337,0.0,0.0,0.0,8.435462609550086,74.47559811901507,82.91106072856516,82.91106072856516,strong,1,3200,73200
75.0,0.0047278773267132815,60000.0,1.0775459515571595,1.0739951203346252,-0.003550831222534301,0.08348529142304854,0.2889382138503811,4522.0,3626.0,3814.0,4200.0,0.09287925696594428,0.1565678903140203,5.33736519266418,3.1987586559492343,2.1386065367149456,2.1386065367149456,0.0,25.616566706078732,0.37473198757171644,-0.010111069355695406,0.006560238133161105,1.0,1.0,9.313225746154785e-10,123.5245707895956,0.0,-36.05603822854391,-85.32992602433674,1467.2471724514435,0.07765071973049169,2.1386065367149456,0.0,0.6678823313843884,0.0,0.0,0.0,36.05603822854391,85.32992602433674,121.38596425288065,121.38596425288065,strong,1,3200,73200
80.0,0.0047145772242381395,60000.0,1.0453719234466554,1.0420971086502075,-0.003274814796447867,0.09875495526601692,0.31425301154645585,3486.0,2954.0,3130.0,3500.0,0.10040160642570281,0.102122776821572,5.289967980808786,2.745196449740515,2.544771531068271,2.544771531068271,0.0,25.768545226043614,0.3416478248165542,-0.01199752190126409,0.008722707104816223,1.0,1.0,0.0,87.62463049773942,0.0,-20.652137041371134,-64.4277219253,1571.8452621980719,0.052802784120049975,2.544771531068278,7.105427357601002e-15,0.7900396421281354,0.0,0.0,0.0,20.652137041371134,64.4277219253,85.07985896667114,85.07985896667114,strong,1,3200,73200
85.0,0.0047016774463746235,60000.0,1.0240407634735107,1.007006979751587,-0.017033783721923657,0.264417670630549,0.5142155876969785,4027.0,3255.0,3425.0,3785.0,0.09399056369505836,0.1494909361807797,10.0739786946001,4.66514007067515,5.40883862392495,5.40883862392495,0.0,20.455662479087167,0.31651417869472803,-0.025430614569187892,0.008396830847264235,1.0,1.0,9.313225746154785e-10,117.75780900381505,0.0,-28.88525388463131,-83.46371649525881,1501.0897218034586,0.07274175409533012,5.408838623924936,1.4210854715202004e-14,2.115341365044392,0.0,0.0,0.0,28.88525388463131,83.46371649525881,112.34897037989012,112.34897037989012,strong,1,3200,73200
90.0,0.0046891556009951265,60000.0,0.9846460870742798,0.9773194862365723,-0.007326600837707531,0.1254209691771013,0.35414823051527633,3298.0,2790.0,2934.0,3252.0,0.09860521528198908,0.11036992116434208,5.667101237895784,2.74306495163867,2.9240362862571136,2.924036286257114,4.440892098500626e-16,23.313775243820782,0.3261606120283472,-0.013711261129215533,0.006384660291508002,1.0,1.0,0.0,91.31539849739056,0.0,-21.00369475925254,-67.3876674518809,1332.0223867759523,0.0641558170113878,2.9240362862571203,6.661338147750939e-15,1.0033677534168104,0.0,0.0,0.0,21.00369475925254,67.3876674518809,88.39136221113344,88.39136221113344,strong,1,3200,73200
95.0,0.0046769910970246124,60000.0,0.9572978247642517,0.9557283197879792,-0.0015695049762725066,0.07789340145638288,0.27909389362073633,3209.0,2799.0,2899.0,3105.0,0.09675911498909318,0.09660330320972266,4.8418613225749105,2.086774918817947,2.7550864037569633,2.7550864037569633,0.0,35.369958844327776,0.301181191523838,-0.012885514581904874,0.011316009605632367,1.0,1.0,0.0,84.96916582691483,0.0,-18.306867330204113,-63.90721209295376,1440.5182583180977,0.0556996829223534,2.7550864037569553,7.993605777301127e-15,0.623147211651063,0.0,0.0,0.0,18.306867330204113,63.90721209295376,82.21407942315787,82.21407942315787,strong,1,3200,73200
100.0,0.004665164957684037,60000.0,0.9349961195468903,0.9265601123332977,-0.008436007213592611,0.1484169121634747,0.3852491559542664,3103.0,2677.0,2771.0,2969.0,0.09568159845310989,0.10699323235578473,6.133567500559771,3.245262034437264,2.8883054661225067,2.8883054661225067,0.0,19.460757025730096,0.3460199401564547,-0.013474421447641978,0.005038414234049366,1.0,1.0,0.0,75.70789561083075,0.0,-10.743913132846501,-62.075677011861735,1379.3028951510723,0.052032532055096996,2.8883054661225103,3.552713678800501e-15,1.1873352973077975,0.0,0.0,0.0,10.743913132846501,62.075677011861735,72.81959014470823,72.81959014470823,strong,1,3200,73200
105.0,0.004653659657229245,60000.0,0.9104139422416688,0.9039155066967011,-0.006498435544967762,0.09481889311629568,0.30792676583287737,3271.0,2828.0,2941.0,3175.0,0.09706511770100887,0.10088657902782028,4.938969521396686,2.5801438177684304,2.3588257036282556,2.3588257036282556,0.0,24.877169792892943,0.3431446902561142,-0.010977172015410201,0.004478736470442439,1.0,1.0,0.0,73.11710240173852,0.0,-10.162739697261713,-60.59553700084855,1409.018462164056,0.04933226362674784,2.3588257036282556,0.0,0.7585511449303655,0.0,0.0,0.0,10.162739697261713,60.59553700084855,70.75827669811027,70.75827669811027,strong,1,3200,73200
110.0,0.00464245897773481,60000.0,0.8978835621833802,0.8852641393184663,-0.01261942286491391,0.21510614860665908,0.46379537363654144,4447.0,3744.0,3901.0,4231.0,0.0951427928940859,0.12277940184393976,9.845599942601073,4.459700965774478,5.385898976826595,5.385898976826595,0.0,25.038331129600554,0.3117516362877335,-0.02500381505814135,0.012384392193227442,1.0,1.0,9.313225746154785e-10,136.5600580906903,0.0,-44.99064902770988,-86.18351008615383,1616.2380362097974,0.0779097481533885,5.3858989768265815,1.3322676295501878e-14,1.7208491888532726,0.0,0.0,0.0,44.99064902770988,86.18351008615383,131.1741591138637,131.1741591138637,strong,1,3200,73200
115.0,0.0046315478830482384,60000.0,0.8646320478439331,0.8596990985393524,-0.004932949304580658,0.07773088966257234,0.2788025998131516,3285.0,2786.0,2867.0,3035.0,0.0923896499238965,0.1272450532724505,4.052756575601601,2.0842415556152503,1.9685150199863504,1.9685150199863504,0.0,25.32474578036634,0.3396190631073216,-0.009117271573566442,0.004184322268985784,1.0,1.0,1.31708899342442e-09,69.96784624760039,0.0,-7.394581490671953,-60.60474973694209,1275.3681229638642,0.05200771245907468,1.9685150199863486,1.7763568394002505e-15,0.6218471173005787,0.0,0.0,0.0,7.394581490671953,60.60474973694209,67.99933122761405,67.99933122761405,strong,1,3200,73200
120.0,0.004620912407508785,60000.0,0.8488488754749298,0.8461113774776459,-0.0027374979972839553,0.08200480696914593,0.28636481447472895,3810.0,3070.0,3180.0,3406.0,0.08939632545931758,0.16535433070866146,4.754685693402321,2.7767667768264546,1.9779189165758662,1.9779189165758662,0.0,24.11954847134818,0.36868941121288223,-0.009139790062651754,0.006402292065367798,1.0,1.0,0.0,100.86625941839884,0.0,-22.37945319558912,-76.50888730623385,1470.9339084091334,0.06417244474392149,1.9779189165758737,7.549516567451064e-15,0.6560384557531674,0.0,0.0,0.0,22.37945319558912,76.50888730623385,98.88834050182297,98.88834050182297,strong,1,3200,73200
125.0,0.004610539557408639,60000.0,0.8245371985435485,0.839509190607071,0.01497199206352251,0.04658849199701034,0.21584367490619302,4683.0,3665.0,4007.0,4701.0,0.10038436899423446,0.14435191116805468,3.428837177041814,2.1888592146588266,1.2399779623829872,1.2399779623829872,0.0,26.61554193388699,0.3896364385039675,-0.005716967445881723,0.020688959509404234,0.0,1.0,0.0,120.25870907775243,0.0,-34.67337689175474,-84.3453542236147,1660.5226042269896,0.06753143026561666,1.23997796238298,7.105427357601002e-15,0.3727079359760827,0.0,0.0,0.0,34.67337689175474,84.3453542236147,119.01873111536945,119.01873111536945,strong,1,3200,73200
130.0,0.004600417223489586,60000.0,0.8184052531242371,0.8080959788322448,-0.010309274291992243,0.24987685400517318,0.49987683883650097,3833.0,3202.0,3381.0,3751.0,0.09786068353769893,0.11792329767805898,8.824769791359346,3.3006036152797584,5.5241661760795875,5.524166176079587,8.881784197001252e-16,22.10755453150223,0.27220634817502215,-0.02541346922185514,0.015104194929862896,1.0,1.0,9.313225746154785e-10,91.11311557364388,0.0,-10.642870787387437,-74.94607861017685,1474.5333671679236,0.05819520343704781,5.524166176079589,1.7763568394002505e-15,1.9990148320413854,0.0,0.0,0.0,10.642870787387437,74.94607861017685,85.58894939756429,85.58894939756429,strong,1,3200,73200
135.0,0.004590534103028645,60000.0,0.7966530855655669,0.8171434983253478,0.020490412759780918,0.09878837557726468,0.3143061812584421,4076.0,3391.0,3678.0,4274.0,0.1048577036310108,0.09764474975466142,6.782805939632086,2.506171509363492,4.276634430268594,4.276634430268594,0.0,43.29086702031798,0.26980058064781776,-0.01963203619833446,0.04012244895811538,0.0,1.0,9.313225746154785e-10,98.93658635002794,0.0,-24.779752999398625,-69.88019892036073,1529.8857225983284,0.06074117833878762,4.276634430268587,7.105427357601002e-15,0.7903070046181174,0.0,0.0,0.0,24.779752999398625,69.88019892036073,94.65995191975935,94.65995191975935,strong,1,3200,73200
140.0,0.004580879630282233,60000.0,0.7847341764450073,0.7843395894527436,-0.0003945869922636902,0.10016980489631364,0.3164961372533852,4155.0,3484.0,3621.0,3905.0,0.09398315282791816,0.12851985559566792,5.381327545565202,3.7493085227999856,1.632019022765216,1.632019022765216,0.0,16.2925247229395,0.4106294999304783,-0.007476082697618294,0.007081495705354604,1.0,1.0,0.0,109.63918949943036,0.0,-29.65918335697279,-78.34798711969235,1599.5685960812625,0.06414620295108305,1.6320190227652205,4.440892098500626e-15,0.8013584391705091,0.0,0.0,0.0,29.65918335697279,78.34798711969235,108.00717047666514,108.00717047666514,strong,1,3200,73200
145.0,0.004571443914238426,60000.0,0.7652456487178803,0.763712160730362,-0.0015334879875182894,0.08387477400855808,0.28961141898854414,2640.0,2330.0,2404.0,2570.0,0.09734848484848485,0.08939393939393936,3.0949960344596352,2.5008433414266467,0.5941526930329886,0.5941526930329886,0.0,7.083806782863758,0.44691120910355964,-0.0027161357126940272,0.0011826477251757378,1.0,1.0,0.0,55.59021332679549,0.0,-5.631525043621878,-49.364535590140626,1442.2089678012026,0.03711459722185874,0.5941526930329886,0.0,0.6709981920684647,0.0768454990354761,0.0,0.0,5.631525043621878,49.364535590140626,54.996060633762504,54.919215134727025,strong,1,3200,73200
150.0,0.004562217682777404,60000.0,0.752145391368866,0.7493657246112824,-0.0027796667575836764,0.0692042266674585,0.26306696232605586,4089.0,3263.0,3381.0,3619.0,0.08850574712643679,0.17314746881878207,4.286821354626659,2.9794729398476214,1.307348414779038,1.307348414779038,0.0,18.891164279042293,0.4100402239575389,-0.005964408055455936,0.0031847412978722595,1.0,1.0,0.0,105.89007301110541,0.0,-23.918680918528025,-80.66404367779835,1581.146631141819,0.06276690527861024,1.3073484147790424,4.440892098500626e-15,0.553633813339668,0.0,0.0,0.0,23.918680918528025,80.66404367779835,104.58272459632637,104.58272459632637,strong,1,3200,73200
